region_id,country_name,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
LCN,Aruba,NA,NA,NA,NA,NA,NA,88132.0167
SAS,Afghanistan,6802511,NA,20000,NA,NA,9855,5628525.37
SSF,Angola,NA,NA,92000,NA,NA,5495.95,4213643.585
ECS,Albania,NA,203009,20000,5714.82,270269,114.3,1087446.75
ECS,Andorra,NA,NA,NA,1788,NA,NA,43000
MEA,United Arab Emirates,493106,2876313,134000,57525,3306644,4573,5617682
LCN,Argentina,NA,NA,291700,310044,NA,NA,17910550
ECS,Armenia,1570,7820,14000,62270,47310540,NA,492800
EAS,American Samoa,NA,NA,NA,NA,NA,NA,18989.49
LCN,Antigua and Barbuda,NA,NA,1100,NA,NA,NA,30585
EAS,Australia,NA,20000000,574000,7000000,31000000,NA,13345000
ECS,Austria,1887723,42423893,166174,1272288,NA,696748,5219715.5
ECS,Azerbaijan,NA,NA,63000,296979.4,NA,NA,2930349
SSF,Burundi,NA,NA,5000,NA,NA,NA,1872016
ECS,Belgium,5635143,35824399,603575,2946195,NA,2397368,4765883
SSF,Benin,NA,NA,8200,NA,NA,1698,685936.01
SSF,Burkina Faso,NA,NA,11000,7871,NA,NA,2575251.11
SAS,Bangladesh,65000000,NA,142000,114358,26884,12271,14778497.33
ECS,Bulgaria,983646,172369117,53785,12206169,NA,518228,2859190
MEA,Bahrain,NA,570099.67,20000,31000,140000,911000,951942.9695
LCN,Bahamas The,NA,NA,4900,NA,NA,NA,264000
ECS,Bosnia and Herzegovina,NA,252310,1409,8408,4048650,8150,1248718
ECS,Belarus,NA,NA,72000,1336926,NA,NA,4280000
LCN,Belize,NA,NA,2300,NA,NA,188,101378.8303
NAC,Bermuda,NA,NA,NA,525,NA,NA,82000
LCN,Bolivia,NA,NA,35392,545183,NA,4683,2219052
LCN,Brazil,NA,45158165,1411900,NA,NA,260063,79069584
LCN,Barbados,NA,184957,3800,9410.337,NA,NA,174815.4444
EAS,Brunei Darussalam,NA,NA,7700,NA,NA,195,216253.156
SAS,Bhutan,NA,NA,1457.5,NA,1476.37,358,111314.05
SSF,Botswana,NA,NA,16000,NA,NA,2500,210854.4426
SSF,Central African Republic,NA,NA,2700,NA,NA,NA,1105983
NAC,Canada,181000000,653255,724000,NA,1118000000,NA,25103034
ECS,Switzerland,NA,6390000,184000,1200000,1470000,NA,6079556
ECS,Channel Islands,NA,NA,NA,NA,NA,NA,178933
LCN,Chile,NA,NA,176000,249755,NA,NA,6517000
EAS,China,4000000000,1500000000,7211000,34652400,3270790000,NA,395081376
SSF,Côte d’Ivoire,NA,NA,22000,NA,NA,NA,4440814.27
SSF,Cameroon,NA,NA,19000,8716.6,NA,NA,3270616.59
