region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people
LCN,Aruba,35563.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,103187
SAS,Afghanistan,2057.062256,NA,NA,NA,NA,NA,NA,NA,NA,NA,34656032
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,25096150
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,2854191
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,82431
MEA,United Arab Emirates,67119.13281,39,4,3,10,25,19,NA,NA,NA,9770529
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,42981516
ECS,Armenia,11019.83887,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,2906220
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,55599
LCN,Antigua and Barbuda,17965.50195,46,7,7,12,15,13,NA,NA,NA,96777
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,23789338
ECS,Austria,56029.61328,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,8877067
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,9649341
SSF,Burundi,839.7785034,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,6741569
ECS,Belgium,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,11484055
SSF,Benin,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,NA,NA,NA,5521763
SSF,Burkina Faso,1925.331177,21,1,1,61,7,9,NA,NA,NA,18110624
SAS,Bangladesh,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,155727056
ECS,Bulgaria,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,7025037
MEA,Bahrain,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,1425171
LCN,Bahamas The,35400.08203,46,7,7,12,15,13,NA,NA,NA,386838
ECS,Bosnia and Herzegovina,12671.00781,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,3535961
ECS,Belarus,18307.51953,30,8,2,35,5,12,6,2,NA,9489616
LCN,Belize,7259.024414,47,8,5,5,16,19,NA,NA,NA,359288
NAC,Bermuda,80982.36719,17,9,6,26,29,13,NA,NA,NA,64798
LCN,Bolivia,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,NA,NA,NA,10724705
LCN,Brazil,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,NA,NA,NA,208494896
LCN,Barbados,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,12.1,NA,18.6,280601
EAS,Brunei Darussalam,60865.98828,36,3,4,15,18,16,1,1,6,423196
SAS,Bhutan,6743.016113,58,4,1,7,17,13,NA,NA,NA,686958
SSF,Botswana,14126.38965,8.1,NA,0.1,91.9,NA,NA,NA,NA,NA,2014866
SSF,Central African Republic,822.6104736,NA,NA,NA,NA,NA,NA,NA,NA,NA,4515392
NAC,Canada,47672.07813,24,6,13,8,47,3,NA,NA,NA,35544564
ECS,Switzerland,68394.28906,29,4,3,29,20,15,NA,NA,NA,8574832
ECS,Channel Islands,46672.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,164541
LCN,Chile,20361.71484,53.3,6.6,2.3,16,12.4,9.4,NA,NA,NA,16829442
EAS,China,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,NA,1400050048
SSF,Côte d’Ivoire,3660.902832,NA,NA,NA,NA,NA,NA,NA,NA,NA,20401332
SSF,Cameroon,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,21655716
SSF,Congo Dem. Rep.,1055.572998,NA,NA,NA,NA,NA,NA,NA,NA,NA,78736152
SSF,Congo Rep.,4899.57959,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648507
LCN,Colombia,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,NA,NA,NA,46406648
SSF,Comoros,2959.540039,50,2,4,22,7,5,NA,NA,10,777424
SSF,Cabo Verde,6353.783203,NA,NA,NA,NA,NA,NA,NA,NA,NA,513979
LCN,Costa Rica,18168.71484,58,1,2,7,21,11,NA,NA,NA,4757575
LCN,Cuba,12984.71094,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,11303687
LCN,Curacao,27503.78906,NA,NA,NA,NA,NA,NA,NA,NA,NA,153822
LCN,Cayman Islands,66207.44531,10.9,3.5,6.2,11.4,31.1,11,NA,7.3,18.6,59172
ECS,Cyprus,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,NA,2.08,NA,1198575
ECS,Czech Republic,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,NA,0.7,NA,10669709
ECS,Germany,53784.78125,30,10,1.4,17.7,24,13,4,NA,NA,83132800
MEA,Djibouti,6596.775391,NA,NA,NA,NA,NA,NA,NA,NA,NA,746221
LCN,Dominica,11708.63965,45,8,5,14,12,16,NA,NA,NA,72400
ECS,Denmark,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,5818553
LCN,Dominican Republic,15328.35254,51,6,3,10,16,10,NA,4,NA,10528394
MEA,Algeria,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,40606052
LCN,Ecuador,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,NA,16144368
MEA,Egypt Arab Rep.,10301.10742,56,4,2,15,10,13,NA,NA,NA,87813256
SSF,Eritrea,1714.552368,NA,NA,NA,NA,NA,NA,NA,NA,NA,4474690
ECS,Spain,40985.55859,49,8,3,14,15,9,NA,2,NA,47076780
ECS,Estonia,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,NA,0.4,NA,1326590
SSF,Ethiopia,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,99873032
ECS,Finland,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,5520314
EAS,Fiji,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,0.1,NA,37.2,867086
ECS,France,46110.18359,32,10,3,26,20,9,NA,NA,NA,67059888
ECS,Faeroe Islands,44402.87891,NA,NA,NA,NA,NA,NA,NA,NA,NA,48842
