region_id,country_name,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
LCN,Aruba,NA,NA,NA,NA,NA,NA,NA,11,NA,89,NA,NA
SAS,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
SSF,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECS,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some disposal sites
ECS,Andorra,NA,NA,NA,52.1,NA,NA,NA,NA,NA,47.9,NA,NA
MEA,United Arab Emirates,NA,9,NA,NA,9,62,NA,20,NA,NA,NA,NA
LCN,Argentina,NA,NA,8.9,NA,NA,22.6,NA,6,62.5,NA,NA,Other
ECS,Armenia,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Other
EAS,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCN,Antigua and Barbuda,NA,0.08,98.68,NA,NA,NA,NA,NA,NA,1.14,0.1,Disposal Site
EAS,Australia,NA,NA,NA,9.77,48.87,NA,NA,42.1,NA,NA,NA,NA
ECS,Austria,NA,31.24,NA,37.9,2.98,NA,NA,25.66,NA,2.22,NA,NA
ECS,Azerbaijan,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Various
SSF,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECS,Belgium,NA,19.137,NA,43.39,0.91,NA,NA,34.303,NA,2.26,NA,NA
SSF,Benin,NA,NA,NA,NA,NA,NA,NA,25,NA,75,NA,NA
SSF,Burkina Faso,NA,NA,NA,NA,17,59,NA,12,NA,12,NA,NA
SAS,Bangladesh,NA,5.25,NA,NA,NA,NA,NA,NA,NA,94.75,NA,Source
ECS,Bulgaria,NA,10.32,NA,2.75,66.22,NA,NA,19.03,NA,1.68,NA,Other
MEA,Bahrain,NA,NA,NA,NA,92,NA,NA,8,NA,NA,NA,Disposal Site
LCN,Bahamas The,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
